"","Inc","Capital","Hours","Age","Industry","Education","Marital","Occupation"
"1",">$50K",0,42,55,"Private","Bach","Married","Trades"
"2","<=$50K",0,5,82,"Private","Master","Never Married","Admin"
"3","<=$50K",0,33,26,"Private","Min","Never Married","Agricultural"
"4","<=$50K",0,12,79,"Private","High School","Married","Admin"
"5","<=$50K",0,56,19,"Private","High School","Married","Trades"
"6","<=$50K",0,8,79,"Private","Min","Married","Trades"
"7",">$50K",0,40,35,"Govt","High School","Never Married","Admin"
"8",">$50K",0,52,38,"Private","High School","Married","Admin"
"9","<=$50K",0,42,20,"Private","Bach","Married","Specialist"
"10",">$50K",0,40,33,"Private","Bach","Married","Agricultural"
"11","<=$50K",0,19,45,"Private","Bach","Never Married","Management"
"12","<=$50K",0,49,21,"Self-Emp","Bach","Married","Management"
"13",">$50K",0,34,53,"Private","Bach","Married","Agricultural"
"14",">$50K",4949,57,35,"Private","Bach","Widowed","Specialist"
"15",">$50K",0,65,21,"Private","Bach","Married","Agricultural"
"16","<=$50K",0,14,77,"Private","High School","Never Married","Trades"
"17","<=$50K",0,43,23,"Private","Bach","Never Married","Trades"
"18","<=$50K",0,18,77,"Private","Min","Divorced","Specialist"
"19",">$50K",0,64,25,"Private","Bach","Never Married","Trades"
"20",">$50K",0,32,69,"Private","High School","Married","Specialist"
"21","<=$50K",0,16,72,"Private","Bach","Never Married","Trades"
"22",">$50K",0,53,61,"Private","Bach","Divorced","Specialist"
"23","<=$50K",0,15,73,"Self-Emp","Bach","Never Married","Specialist"
"24","<=$50K",0,22,68,"Govt","High School","Divorced","Agricultural"
"25",">$50K",0,60,36,"Private","Bach","Divorced","Admin"
"26","<=$50K",0,33,20,"Private","Min","Never Married","Management"
"27",">$50K",0,57,47,"Private","Bach","Never Married","Management"
"28",">$50K",0,32,61,"Private","Bach","Never Married","Trades"
"29","<=$50K",0,19,65,"Private","High School","Married","Management"
"30","<=$50K",0,14,76,"Govt","Min","Married","Agricultural"
"31","<=$50K",0,10,35,"Private","Bach","Married","Trades"
"32","<=$50K",0,40,26,"Private","Bach","Never Married","Management"
"33","<=$50K",0,33,29,"Private","Bach","Never Married","Specialist"
"34","<=$50K",0,20,73,"Private","Master","Never Married","Agricultural"
"35","<=$50K",3273,8,82,"Private","High School","Married","Agricultural"
"36","<=$50K",0,11,79,"Private","Bach","Married","Specialist"
"37",">$50K",0,30,42,"Private","Bach","Never Married","Agricultural"
"38","<=$50K",0,18,74,"Govt","High School","Married","Management"
"39","<=$50K",0,10,75,"Private","Bach","Married","Trades"
"40","<=$50K",0,57,21,"Govt","Bach","Divorced","Admin"
"41","<=$50K",0,36,23,"Private","High School","Married","Agricultural"
"42",">$50K",0,60,39,"Private","High School","Married","Agricultural"
"43","<=$50K",0,0,85,"Private","High School","Married","Trades"
"44",">$50K",1922,35,47,"Private","High School","Never Married","Trades"
"45","<=$50K",0,2,84,"Private","High School","Married","Admin"
"46","<=$50K",0,18,24,"Govt","High School","Never Married","Trades"
"47",">$50K",2945,27,69,"Private","Bach","Never Married","Admin"
"48","<=$50K",0,42,22,"Private","High School","Married","Trades"
"49","<=$50K",0,3,83,"Private","Bach","Married","Trades"
"50",">$50K",4264,23,50,"Private","Bach","Married","Trades"
"51","<=$50K",0,9,78,"Govt","Bach","Divorced","Admin"
"52","<=$50K",0,23,75,"Self-Emp","Bach","Married","Management"
"53",">$50K",0,42,59,"Private","Master","Divorced","Trades"
"54","<=$50K",0,34,18,"Private","Min","Married","Management"
"55",">$50K",0,66,33,"Private","Bach","Married","Agricultural"
"56","<=$50K",0,49,20,"Private","High School","Never Married","Management"
"57","<=$50K",0,32,26,"Govt","Master","Never Married","Admin"
"58","<=$50K",0,8,81,"Private","Bach","Divorced","Management"
"59",">$50K",0,42,36,"Private","Bach","Never Married","Trades"
"60","<=$50K",0,26,72,"Other","Bach","Married","Management"
"61","<=$50K",0,40,21,"Govt","High School","Never Married","Admin"
"62","<=$50K",0,32,27,"Private","Master","Married","Agricultural"
"63",">$50K",0,38,38,"Govt","High School","Married","Agricultural"
"64","<=$50K",0,21,72,"Private","Bach","Married","Management"
"65",">$50K",0,58,49,"Private","Bach","Widowed","Agricultural"
"66","<=$50K",0,20,63,"Govt","Bach","Married","Trades"
"67",">$50K",2189,51,58,"Private","Bach","Married","Agricultural"
"68","<=$50K",0,34,23,"Govt","Min","Never Married","Management"
"69","<=$50K",0,41,22,"Self-Emp","Master","Married","Agricultural"
"70",">$50K",0,51,48,"Govt","Bach","Divorced","Agricultural"
"71","<=$50K",0,9,79,"Govt","Bach","Married","Agricultural"
"72",">$50K",0,39,43,"Private","High School","Never Married","Trades"
"73",">$50K",0,53,64,"Private","Min","Married","Trades"
"74",">$50K",0,37,63,"Private","Min","Married","Admin"
"75","<=$50K",0,18,73,"Self-Emp","Master","Never Married","Management"
"76",">$50K",0,52,32,"Private","High School","Married","Agricultural"
"77","<=$50K",0,45,25,"Self-Emp","High School","Married","Trades"
"78","<=$50K",0,37,29,"Private","Master","Married","Admin"
"79","<=$50K",0,20,48,"Private","Bach","Divorced","Management"
"80",">$50K",0,33,59,"Private","High School","Never Married","Admin"
"81","<=$50K",0,7,77,"Private","Bach","Married","Trades"
"82",">$50K",0,30,57,"Private","Min","Married","Trades"
"83",">$50K",0,53,49,"Private","High School","Married","Specialist"
"84","<=$50K",0,25,66,"Private","Min","Married","Agricultural"
"85","<=$50K",0,23,52,"Self-Emp","Bach","Divorced","Specialist"
"86",">$50K",0,50,64,"Private","Min","Never Married","Management"
"87",">$50K",0,53,63,"Private","High School","Never Married","Trades"
"88",">$50K",0,32,62,"Private","Bach","Never Married","Management"
"89","<=$50K",0,32,25,"Private","Bach","Never Married","Admin"
"90",">$50K",0,53,32,"Private","High School","Never Married","Management"
"91","<=$50K",0,27,34,"Private","Min","Never Married","Trades"
"92",">$50K",0,37,57,"Private","High School","Married","Agricultural"
"93","<=$50K",0,24,66,"Private","Min","Married","Admin"
"94",">$50K",0,33,64,"Private","High School","Widowed","Trades"
"95","<=$50K",0,24,42,"Private","Bach","Never Married","Trades"
"96",">$50K",0,32,55,"Private","High School","Married","Management"
"97","<=$50K",0,34,32,"Self-Emp","High School","Never Married","Specialist"
"98","<=$50K",0,12,72,"Private","Bach","Never Married","Agricultural"
"99",">$50K",1244,30,67,"Private","Bach","Never Married","Management"
"100",">$50K",0,61,43,"Private","High School","Never Married","Admin"
"101","<=$50K",0,8,72,"Govt","Bach","Married","Trades"
"102",">$50K",0,48,59,"Private","Min","Married","Admin"
"103","<=$50K",0,8,78,"Private","High School","Never Married","Trades"
"104","<=$50K",0,25,37,"Private","Bach","Married","Management"
"105",">$50K",0,48,42,"Private","Bach","Divorced","Admin"
"106","<=$50K",0,36,22,"Govt","Bach","Married","Management"
"107","<=$50K",0,3,83,"Private","Min","Married","Trades"
"108","<=$50K",0,1,84,"Govt","High School","Married","Admin"
"109","<=$50K",0,20,55,"Govt","High School","Married","Trades"
"110",">$50K",0,49,55,"Private","Bach","Never Married","Admin"
"111",">$50K",0,43,64,"Govt","Master","Married","Specialist"
"112",">$50K",0,36,37,"Govt","Bach","Never Married","Specialist"
"113","<=$50K",0,33,29,"Govt","High School","Divorced","Agricultural"
"114",">$50K",0,53,47,"Private","Master","Married","Specialist"
"115","<=$50K",0,34,35,"Govt","High School","Never Married","Trades"
"116",">$50K",0,52,58,"Private","Bach","Married","Agricultural"
"117",">$50K",0,39,37,"Private","Bach","Married","Admin"
"118",">$50K",0,29,47,"Private","High School","Divorced","Specialist"
"119",">$50K",0,48,56,"Private","High School","Divorced","Management"
"120","<=$50K",2104,24,70,"Govt","Master","Married","Specialist"
"121",">$50K",0,34,66,"Private","High School","Never Married","Admin"
"122",">$50K",0,34,59,"Private","Min","Married","Agricultural"
"123",">$50K",0,28,57,"Private","Min","Never Married","Agricultural"
"124","<=$50K",0,20,77,"Govt","High School","Married","Management"
"125",">$50K",1180,45,33,"Private","Min","Never Married","Management"
"126","<=$50K",0,16,73,"Private","Bach","Married","Management"
"127",">$50K",1569,44,55,"Govt","Bach","Never Married","Agricultural"
"128","<=$50K",0,19,66,"Private","Bach","Never Married","Trades"
"129","<=$50K",0,25,51,"Private","Bach","Married","Management"
"130",">$50K",1103,42,49,"Private","Bach","Never Married","Agricultural"
"131",">$50K",1595,35,32,"Private","Bach","Never Married","Agricultural"
"132","<=$50K",0,13,78,"Self-Emp","Bach","Widowed","Management"
"133","<=$50K",0,13,78,"Private","Bach","Married","Agricultural"
"134",">$50K",0,37,52,"Private","High School","Never Married","Admin"
"135","<=$50K",1680,10,79,"Self-Emp","Min","Never Married","Admin"
"136",">$50K",0,53,39,"Private","High School","Married","Admin"
"137",">$50K",0,27,45,"Govt","Bach","Married","Management"
"138","<=$50K",0,20,69,"Govt","Bach","Divorced","Agricultural"
"139","<=$50K",0,21,61,"Private","Bach","Never Married","Management"
"140","<=$50K",0,35,25,"Self-Emp","Min","Never Married","Trades"
"141","<=$50K",4250,13,73,"Private","Bach","Married","Admin"
"142","<=$50K",0,22,68,"Self-Emp","Min","Never Married","Specialist"
"143",">$50K",0,44,35,"Private","Bach","Married","Agricultural"
"144","<=$50K",0,32,36,"Private","High School","Never Married","Agricultural"
"145",">$50K",0,61,23,"Private","High School","Married","Admin"
"146","<=$50K",0,19,73,"Private","Bach","Never Married","Admin"
"147","<=$50K",0,11,73,"Private","High School","Never Married","Agricultural"
"148","<=$50K",0,30,29,"Govt","Bach","Never Married","Management"
"149",">$50K",3293,39,45,"Private","Bach","Never Married","Management"
"150",">$50K",0,32,56,"Private","High School","Married","Admin"
"151","<=$50K",0,7,78,"Self-Emp","Min","Married","Agricultural"
"152","<=$50K",3374,36,23,"Private","Min","Never Married","Management"
"153","<=$50K",0,53,21,"Other","Master","Divorced","Admin"
"154",">$50K",0,37,47,"Private","Bach","Never Married","Agricultural"
"155","<=$50K",0,5,80,"Private","High School","Married","Agricultural"
"156",">$50K",0,44,45,"Private","High School","Married","Management"
"157","<=$50K",0,23,58,"Private","High School","Married","Management"
"158","<=$50K",0,31,36,"Private","Master","Never Married","Agricultural"
"159","<=$50K",0,16,74,"Private","Bach","Married","Agricultural"
"160","<=$50K",0,26,26,"Private","Bach","Never Married","Agricultural"
"161","<=$50K",0,20,37,"Private","Min","Married","Specialist"
"162",">$50K",1389,41,36,"Private","Bach","Married","Specialist"
"163",">$50K",1310,61,41,"Private","Master","Divorced","Management"
"164","<=$50K",0,43,25,"Private","Bach","Married","Trades"
"165","<=$50K",0,32,22,"Self-Emp","Bach","Married","Agricultural"
"166",">$50K",0,36,47,"Private","Min","Never Married","Management"
"167",">$50K",0,39,57,"Govt","Min","Divorced","Agricultural"
"168","<=$50K",0,13,73,"Private","Master","Divorced","Agricultural"
"169","<=$50K",0,8,81,"Private","Bach","Divorced","Agricultural"
"170",">$50K",0,36,56,"Govt","High School","Married","Specialist"
"171","<=$50K",0,56,23,"Private","Min","Never Married","Management"
"172","<=$50K",0,38,22,"Self-Emp","High School","Married","Agricultural"
"173","<=$50K",0,10,80,"Private","Bach","Divorced","Specialist"
"174",">$50K",0,35,40,"Govt","Bach","Married","Admin"
"175","<=$50K",0,44,28,"Private","High School","Married","Agricultural"
"176",">$50K",0,63,37,"Private","Bach","Never Married","Agricultural"
"177","<=$50K",0,40,22,"Private","Min","Never Married","Specialist"
"178",">$50K",0,50,39,"Private","Bach","Married","Agricultural"
"179",">$50K",1914,51,56,"Govt","High School","Married","Agricultural"
"180",">$50K",0,32,67,"Private","High School","Divorced","Trades"
"181",">$50K",0,52,53,"Private","Bach","Married","Management"
"182","<=$50K",0,18,74,"Self-Emp","High School","Married","Specialist"
"183","<=$50K",0,17,74,"Private","High School","Never Married","Management"
"184",">$50K",3968,48,60,"Private","Bach","Never Married","Management"
"185",">$50K",0,34,37,"Private","High School","Married","Agricultural"
"186",">$50K",0,42,54,"Private","Master","Married","Admin"
"187",">$50K",0,59,52,"Private","High School","Never Married","Admin"
"188","<=$50K",0,5,83,"Private","Bach","Married","Management"
"189","<=$50K",0,0,85,"Govt","Bach","Never Married","Agricultural"
"190",">$50K",1187,33,61,"Govt","Min","Married","Management"
"191","<=$50K",0,35,25,"Govt","Min","Never Married","Agricultural"
"192",">$50K",0,65,45,"Private","High School","Never Married","Trades"
"193","<=$50K",2087,15,74,"Private","Bach","Never Married","Agricultural"
"194",">$50K",6599,45,58,"Govt","High School","Divorced","Specialist"
"195",">$50K",0,44,39,"Private","High School","Married","Management"
"196",">$50K",0,53,47,"Private","Bach","Married","Agricultural"
"197",">$50K",0,46,50,"Private","Bach","Never Married","Specialist"
"198","<=$50K",0,17,21,"Private","Bach","Never Married","Management"
"199","<=$50K",0,40,30,"Private","Min","Married","Admin"
"200",">$50K",0,43,35,"Govt","Bach","Divorced","Specialist"
"201","<=$50K",0,6,81,"Private","Min","Married","Management"
"202","<=$50K",0,10,76,"Private","High School","Married","Admin"
"203",">$50K",0,42,44,"Private","High School","Married","Agricultural"
"204",">$50K",0,43,40,"Private","Bach","Divorced","Specialist"
"205",">$50K",0,45,33,"Private","Bach","Married","Specialist"
"206",">$50K",0,68,22,"Private","High School","Married","Management"
"207","<=$50K",0,22,41,"Private","Master","Married","Management"
"208",">$50K",0,58,24,"Private","Bach","Divorced","Management"
"209",">$50K",0,49,40,"Private","Master","Never Married","Admin"
"210",">$50K",0,40,34,"Private","High School","Married","Specialist"
"211","<=$50K",0,28,21,"Private","Bach","Never Married","Admin"
"212","<=$50K",0,0,85,"Private","High School","Never Married","Agricultural"
"213","<=$50K",0,8,79,"Private","Bach","Never Married","Trades"
"214","<=$50K",0,24,71,"Private","High School","Never Married","Admin"
"215",">$50K",0,64,28,"Private","Bach","Divorced","Agricultural"
"216",">$50K",0,58,46,"Private","High School","Never Married","Agricultural"
"217","<=$50K",0,28,69,"Private","Bach","Married","Agricultural"
"218",">$50K",814,55,48,"Private","High School","Married","Specialist"
"219",">$50K",0,39,47,"Private","High School","Married","Admin"
"220",">$50K",777,34,34,"Private","Bach","Never Married","Admin"
"221",">$50K",0,33,53,"Private","Bach","Divorced","Admin"
"222",">$50K",0,31,56,"Private","Bach","Divorced","Admin"
"223",">$50K",0,43,61,"Private","Bach","Never Married","Admin"
"224","<=$50K",0,13,30,"Private","High School","Married","Admin"
"225",">$50K",0,41,48,"Govt","High School","Never Married","Specialist"
"226",">$50K",0,36,66,"Private","High School","Divorced","Management"
"227","<=$50K",0,17,72,"Private","Min","Married","Specialist"
"228",">$50K",2781,45,45,"Govt","Bach","Never Married","Agricultural"
"229","<=$50K",0,47,19,"Govt","Bach","Never Married","Management"
"230","<=$50K",976,20,70,"Private","Min","Never Married","Trades"
"231",">$50K",0,41,41,"Private","High School","Married","Trades"
"232",">$50K",0,36,65,"Private","Bach","Married","Specialist"
"233","<=$50K",0,16,66,"Private","Bach","Married","Trades"
"234",">$50K",0,40,35,"Private","High School","Married","Admin"
"235","<=$50K",1780,22,65,"Private","High School","Married","Trades"
"236",">$50K",0,31,68,"Govt","Bach","Married","Agricultural"
"237",">$50K",0,59,38,"Private","Bach","Married","Trades"
"238",">$50K",0,31,67,"Private","High School","Never Married","Specialist"
"239","<=$50K",0,0,85,"Self-Emp","High School","Married","Management"
"240",">$50K",0,42,43,"Private","Bach","Never Married","Trades"
"241",">$50K",0,29,64,"Private","Bach","Married","Specialist"
"242",">$50K",0,29,60,"Private","High School","Married","Specialist"
"243","<=$50K",0,62,21,"Private","High School","Divorced","Agricultural"
"244","<=$50K",0,23,41,"Self-Emp","High School","Never Married","Admin"
"245","<=$50K",0,7,79,"Private","High School","Married","Management"
"246",">$50K",0,54,65,"Private","High School","Married","Management"
"247","<=$50K",0,17,72,"Self-Emp","Bach","Married","Management"
"248","<=$50K",0,20,69,"Govt","Bach","Widowed","Trades"
"249",">$50K",0,30,67,"Govt","Min","Divorced","Agricultural"
"250","<=$50K",0,11,77,"Private","Bach","Divorced","Agricultural"
"251",">$50K",0,32,49,"Private","High School","Divorced","Agricultural"
"252","<=$50K",0,33,23,"Private","Min","Married","Management"
"253","<=$50K",0,33,27,"Private","Bach","Married","Specialist"
"254",">$50K",0,74,31,"Private","Bach","Never Married","Specialist"
"255",">$50K",0,28,54,"Private","Bach","Married","Management"
"256",">$50K",0,32,58,"Private","Master","Never Married","Admin"
"257",">$50K",0,51,38,"Private","Bach","Married","Admin"
"258",">$50K",0,46,59,"Private","High School","Married","Management"
"259",">$50K",4049,35,39,"Private","Min","Never Married","Agricultural"
"260",">$50K",0,37,40,"Private","Bach","Never Married","Agricultural"
"261","<=$50K",0,21,64,"Private","Bach","Married","Trades"
"262","<=$50K",0,33,21,"Private","Master","Never Married","Management"
"263",">$50K",0,48,45,"Govt","High School","Married","Management"
"264",">$50K",0,42,50,"Private","Bach","Divorced","Trades"
"265",">$50K",0,36,67,"Private","High School","Divorced","Specialist"
"266","<=$50K",0,36,33,"Private","Bach","Married","Admin"
"267","<=$50K",0,19,73,"Private","Bach","Never Married","Admin"
"268",">$50K",0,52,42,"Private","Master","Never Married","Trades"
"269",">$50K",0,34,64,"Govt","High School","Married","Agricultural"
"270",">$50K",0,37,38,"Private","High School","Never Married","Management"
"271","<=$50K",0,43,25,"Self-Emp","Master","Married","Management"
"272","<=$50K",0,21,64,"Private","High School","Married","Management"
"273",">$50K",0,67,60,"Private","Min","Married","Specialist"
"274","<=$50K",0,15,77,"Private","Min","Never Married","Agricultural"
"275","<=$50K",0,49,26,"Private","Bach","Widowed","Management"
"276",">$50K",0,29,63,"Private","Bach","Married","Management"
"277",">$50K",422,38,48,"Private","High School","Married","Agricultural"
"278","<=$50K",0,7,80,"Govt","High School","Married","Management"
"279","<=$50K",0,25,27,"Private","Min","Never Married","Specialist"
"280","<=$50K",0,39,25,"Private","Bach","Married","Trades"
"281",">$50K",1380,50,30,"Private","High School","Divorced","Management"
"282",">$50K",0,27,53,"Private","Bach","Married","Management"
"283","<=$50K",0,47,25,"Private","Bach","Married","Management"
"284",">$50K",0,47,61,"Private","Bach","Married","Management"
"285","<=$50K",0,22,44,"Private","Bach","Never Married","Admin"
"286",">$50K",0,69,36,"Govt","Bach","Never Married","Admin"
"287",">$50K",0,51,61,"Self-Emp","Bach","Married","Trades"
"288","<=$50K",0,54,24,"Private","High School","Never Married","Trades"
"289",">$50K",0,36,45,"Private","Bach","Widowed","Admin"
"290",">$50K",0,49,28,"Private","High School","Never Married","Management"
"291","<=$50K",0,23,47,"Private","Bach","Never Married","Management"
"292",">$50K",0,42,57,"Private","Bach","Never Married","Admin"
"293",">$50K",0,30,65,"Private","High School","Married","Admin"
"294",">$50K",0,47,55,"Private","Bach","Married","Specialist"
"295",">$50K",0,59,34,"Private","Bach","Married","Admin"
"296",">$50K",0,37,62,"Private","Min","Married","Admin"
"297","<=$50K",0,17,71,"Other","Bach","Married","Agricultural"
"298","<=$50K",0,41,25,"Private","Bach","Married","Agricultural"
"299","<=$50K",0,49,25,"Private","High School","Divorced","Agricultural"
"300","<=$50K",0,30,20,"Private","Bach","Married","Trades"
"301","<=$50K",0,19,65,"Private","High School","Never Married","Trades"
"302",">$50K",6084,29,62,"Private","Bach","Married","Specialist"
"303","<=$50K",0,11,76,"Private","Bach","Married","Specialist"
"304",">$50K",0,36,61,"Private","Bach","Never Married","Admin"
"305","<=$50K",0,48,23,"Self-Emp","Bach","Married","Trades"
"306","<=$50K",0,19,72,"Self-Emp","High School","Married","Specialist"
"307","<=$50K",0,24,74,"Self-Emp","High School","Divorced","Admin"
"308",">$50K",0,63,39,"Private","Min","Married","Management"
"309",">$50K",0,38,46,"Private","Bach","Married","Management"
"310",">$50K",0,33,63,"Private","Min","Never Married","Admin"
"311","<=$50K",0,45,24,"Private","High School","Married","Management"
"312",">$50K",0,29,59,"Private","Bach","Married","Specialist"
"313","<=$50K",0,16,74,"Private","Bach","Married","Trades"
"314",">$50K",3159,41,36,"Private","High School","Never Married","Specialist"
"315",">$50K",0,42,56,"Private","Bach","Married","Admin"
"316",">$50K",0,42,57,"Private","High School","Never Married","Management"
"317","<=$50K",0,24,46,"Private","High School","Divorced","Agricultural"
"318","<=$50K",0,7,82,"Private","Bach","Married","Agricultural"
"319",">$50K",0,32,48,"Private","High School","Married","Agricultural"
"320",">$50K",2284,26,63,"Private","High School","Never Married","Agricultural"
"321","<=$50K",0,29,34,"Self-Emp","Bach","Married","Management"
"322","<=$50K",0,26,31,"Private","Master","Never Married","Admin"
"323",">$50K",0,54,55,"Private","Master","Divorced","Specialist"
"324",">$50K",0,44,50,"Private","Min","Divorced","Admin"
"325",">$50K",1465,35,43,"Govt","Bach","Married","Management"
"326","<=$50K",0,12,79,"Private","Min","Widowed","Admin"
"327",">$50K",0,35,40,"Private","High School","Married","Management"
"328",">$50K",0,49,30,"Private","High School","Married","Agricultural"
"329","<=$50K",0,29,70,"Private","Master","Married","Admin"
"330",">$50K",4232,19,67,"Private","Bach","Married","Agricultural"
"331","<=$50K",0,32,20,"Private","High School","Married","Admin"
"332",">$50K",0,51,55,"Private","High School","Divorced","Trades"
"333",">$50K",0,61,24,"Private","High School","Never Married","Trades"
"334",">$50K",0,47,57,"Private","Bach","Married","Specialist"
"335","<=$50K",0,54,21,"Private","Bach","Divorced","Management"
"336","<=$50K",0,16,74,"Private","Bach","Married","Management"
"337","<=$50K",0,11,79,"Govt","Bach","Divorced","Management"
"338",">$50K",0,54,31,"Private","Bach","Married","Trades"
"339",">$50K",0,28,51,"Private","Bach","Divorced","Agricultural"
"340","<=$50K",0,33,24,"Private","Bach","Divorced","Management"
"341","<=$50K",0,56,21,"Private","Min","Married","Admin"
